article_id,publisher,source,category,published_at,headline,content,label
11081,earki,https://www.earki.co/jokes/joke/11081/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%80-%E0%A6%95%E0%A7%81%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%97%E0%A7%80%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%8F%E0%A6%95%E0%A6%A6%E0%A6%BF%E0%A6%A8,jokes,2025-08-12T17:49:12+06:00,বাংলাদেশী কুস্তিগীরের একদিন,"এক বাংলাদেশি কুস্তিগীর। খুব তার নামডাক। অলিম্পিকে খেলতে গেল দেশের হয়ে। একে একে ভারতীয়, চাইনিজ, রাশিয়ান, নাইজেরিয়ান কুস্তিগীরকে হারিয়ে সে ফাইনালে গিয়ে পেল আমেরিকান ওয়ার্ল্ড চ্যাম্পিয়নকে। ফাইনালের আগে বাংলাদেশের কুস্তিগীরকে কোচ বলল, দেখো, এই আমেরিকানের একটা বিখ্যাত জিলাপীর প্যাঁচ আছে। এই প্যাঁচে যে পড়েছে, সে আর বের হতে পারে নাই। খবরদার ওর জিলাপীর প্যাঁচে পড়বা না। ফাইনাল শুরু হলো। মুহূর্তের মধ্যে আমেরিকান কুস্তিগীর বাংলাদেশীকে ধরে জিলাপির প্যাঁচে আটকে ফেলল। বাংলাদেশীর আর নড়ার কোনো উপায় নেই। আমেরিকান দর্শকদের উল্লাসে টেকা যাচ্ছে না। রেফারি এগিয়ে গেল। এক, দুই, তিন বললেই আমেরিকান জিতে যাবে। হুট করে কী হলো, আমেরিকান কুস্তিগীর ছিটকে দশ ফুট ওপরে উঠে গেল, তারপর ধড়াস করে পড়ল। বাংলাদেশী কুস্তিগীর ধীরেসুস্থে উঠে আমেরিকান কুস্তিগীরের ওপর দাঁড়াল। রেফারি এক, দুই, তিন বলল। বাংলাদেশী চ্যাম্পিয়ন হয়ে গেল। খেলার পর কোচ জিজ্ঞেস করল, তুমি কী এমন করলে যে জিলাপীর প্যাঁচ ছুটিয়ে জিতে গেলে? কুস্তিগীর বলল, স্যার, জিলাপীর প্যাঁচে পড়ে তো আমার নড়ার উপায় নাই। দম বন্ধ হয়ে আসতেছে। হুট করে দেখি, নাকের ওপরে দুইটা বল ঝুলতেছে। দিলাম খিঁচে একটা কামড়! তারপর স্যার যা বুঝলাম, নিজের বিচিতে কামড় পড়লে আপনাকে আটকে রাখবে, দুনিয়ায় এমন কোনো শক্তি নাই!",0
9870,earki,https://www.earki.co/jokes/joke/9870/%E0%A6%8F%E0%A6%AE%E0%A6%A8%E0%A6%95%E0%A6%BF-%E0%A6%A8%E0%A6%BF%E0%A6%B2%E0%A6%B8-%E0%A6%AC%E0%A7%8B%E0%A6%B0%E0%A6%93-%E0%A6%B6%E0%A7%82%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%87%E0%A7%9F%E0%A7%87%E0%A6%9B%E0%A6%BF%E0%A6%B2,jokes,2024-05-25T17:23:25+06:00,এমনকি নিলস বোরও শূন্য পেয়েছিল!,"ছোট্ট ছেলেটির মন খারাপ। খুব বেশিই খারাপ। পরীক্ষায় একটি প্রশ্নের উত্তরে সে শূন্য পেয়েছে। প্রশ্নটি ছিলো এরকম, ‘ব্যারোমিটারের সাহায্যে একটি ভবনের উচ্চতা কীভাবে মাপা সম্ভব?’ উত্তরটি তার জানা ছিল না। তাই বলে তো আর প্রশ্ন ছেড়ে আসা যাবে না। মা বারবার বলে দিয়েছে ‘ফুল অ্যান্সার’ করে আসার জন্য। তাই বুদ্ধি খাটিয়ে সে লিখেছিল, ‘দড়ি বেঁধে ভবনের ছাদ থেকে ব্যারোমিটারটি নিচে ফেলে দিতে হবে। তাহলে ঐ দড়ির দৈর্ঘ্যই হবে ভবনের উচ্চতা’। শিক্ষক ঊত্তর দেখে খুশি তো হনইনি, বরং ভেবেছেন ছেলেটি দুষ্টমি করে উত্তরটি লিখেছে। তাই তাকে ডেকে খাতাটা বাড়িয়ে দিয়ে বললেন, ‘ধরে নিলাম উত্তরটা তুমি জান, দ্বিতীয়বার তোমায় সুযোগ দিচ্ছি, চটপট উত্তরটা লিখে ফেল।’ ছেলেটি ভাবল, ‘এবার আর ভুল করা যাবে না।’ তাই এবার সে লিখল, ‘আমি ভবনের উপর থেকে নেমে এসে ভবনের অ্যাটেনডেন্টকে বলব, ভবনের প্রকৃত উচ্চতাটি বললে আমি তোমাকে এই ব্যারোমিটারটি উপহার দেব। তখন সে বলে দেবে আর আমি জেনে নেব।’ এবার হয়েছে,এবার নম্বর না দিয়ে শিক্ষক যাবেন কোথায়? এই ভেবে মনে মনে এক চোট হেসে নিলো ছেলেটি। কিন্তু তার উত্তর দেখে এবার আর শিক্ষকও ভুল করলেন না। দিয়ে দিলেন পুরো শূন্য (0)! পদার্থবিজ্ঞানের প্রশ্নে ভুল করলেও পরবর্তীতে সেই ছেলেটিই হয়ে ওঠে, ‘বোর পরমাণু মডেলের’ জনক প্রখ্যাত পদার্থবিজ্ঞানী নীলস বোর।",0
9420,earki,https://www.earki.co/jokes/joke/9420/%E0%A6%AC%E0%A7%83%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%B2%E0%A7%8B%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%AF%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%AE%E0%A6%BF%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%9A%E0%A7%87%E0%A7%9F%E0%A7%87%E0%A6%93-%E0%A6%B6%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B6%E0%A6%BE%E0%A6%B2%E0%A7%80,jokes,2024-01-28T16:55:07+06:00,বৃদ্ধ লোকটি যেভাবে 'মিসাইলের' চেয়েও শক্তিশালী,"তখন দ্বিতীয় বিশ্বযুদ্ধ চলছে। সাগরে আমেরিকা আর জাপানের যুদ্ধজাহাজ যুদ্ধ করছে। হঠাৎ করে জাপানি জাহাজের ক্যাপ্টেন খেয়াল করল আমেরিকার জাহাজ থেকে পানির নিচ দিয়ে বেকায়দা স্টাইলে একটা মিসাইল ছোঁড়া হয়েছে। মিসাইল নির্ঘাত জাপানি জাহাজে এসে লাগবে! মরা ছাড়া জাপানিদের আর কোনো উপায় নাই। জাপানি ক্যাপ্টেন তার বৃদ্ধ সহকারীকে ডেকে পরিস্থিতি বুঝিয়ে বলল। ক্যাপ্টেন: আমি যথাসাধ্য চেষ্টা করব জাহাজকে মিসাইলের পথ থেকে সরিয়ে নিতে। কিন্তু সফল হওয়ার সম্ভাবনা কম। তুমি এক কাজ করো। নিচে আমাদের যেসব সৈন্য আছে তাদের কাছে যাও। তাদেরকে মিসাইলের কথা বলো না। বরং আমি চাই এই শেষবেলায় তুমি তাদেরকে কিছুক্ষণের জন্য হাসাও। দেশপ্রেমিক ক্লান্ত সৈন্যরা যেন জীবনের শেষ মুহুর্তেও একটু হাসতে হাসতে মরতে পারে। বৃদ্ধ: স্যার, আপনি কোনো চিন্তা করবেন না। আমি আমার সাধ্যমত চেষ্টা করব তাদের হাসাতে। বৃদ্ধ সহকারী নিচে নামলো। সৈন্যরা তাকে দেখে উপরের খবর জানতে চাইল। বৃদ্ধ: ওপরের খবর ভালো। নিচের খবর আরও ভালো। সৈন্যরা: নিচের খবর ভালো মানে? বৃদ্ধ: আমি যদি বলি আমার নিচের জিনিস দিয়ে জাহাজের এই মেঝেতে বাড়ি দিলে জাহাজটা ভেঙে দুই ভাগ হয়ে যাবে, তাহলে কে কে অবিশ্বাস করবে? সৈন্যরা: হাহাহাহা… এই বয়সে কীসব উল্টাপাল্টা কথা বলছেন! সৈন্যরা হাসতে হাসতে মাটিতে গড়াগড়ি খাওয়া ধরল। বৃদ্ধ: বিশ্বাস হয় না? তাহলে এখনই দেখাচ্ছি। এই বলে বৃদ্ধ হাঁটু গেড়ে বসে ঠিক মিসাইল যখন আঘাত হানবে, সেটা হিসেব করে তার জিনিস দিয়ে জাহাজের পাটাতনে দিল এক বাড়ি। ভয়াবহ সংঘর্ষে বৃদ্ধ জ্ঞান হারাল। একসময় টের পেল, ক্যাপ্টেন তার কাঁধ ধরে ঝাঁকাচ্ছে। ক্যাপ্টেন: তোমাকে যা করতে বলছিলাম তুমি কি তা করছো? বৃদ্ধ: জি স্যার। আমি তাদেরকে শেষ সময়ে হাসাতে সাহায্য করেছি। ক্যাপ্টেন: কীভাবে হাসালে? বৃদ্ধ সব খুলে বলল। সব শুনে ক্যাপ্টেন বলল, ‘বাহ! আমি অনেক খুশি হয়েছি যে আমাদের দেশের জন্য যারা যুদ্ধ করছে তাদেরকে তুমি শেষ মুহুর্তের আনন্দটুকু দিতে পেরেছ। তবে পরেরবার থেকে তোমার জিনিস ব্যবহারে সাবধান থাকবে। কারণ মিসাইল আমাদের জাহাজের পাশ কেটে চলে গিয়েছে।’",0
8639,earki,https://www.earki.co/jokes/joke/8639/%E0%A6%95%E0%A7%8B%E0%A6%A5%E0%A6%BE%E0%A7%9F-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%A4%E0%A7%87-%E0%A6%B9%E0%A6%AC%E0%A7%87-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%A8-%E0%A6%95%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A6%BF%E0%A6%A8,jokes,2023-07-11T18:53:28+06:00,কোথায় হাসতে হবে আন্ডারলাইন করে দিন,"eআরকি প্রতিদিন সকালে আর রাতে জোক শেয়ার করে। সেই জোকের কোথায় হাসতে হবে, কেন হাসতে হবে তার কোনো কিছুই আপনাদের বলে দিতে হয় না। কিন্তু, আমাদের আশেপাশের অনেকে এখন স্ট্যান্ড আপ কমেডি করছেন, আমরা অনেক ভেবেও বুঝতে পারিনি কোথায় হাসতে হবে। ১# আমি যখন বড় হই আমার ফ্রেন্ডরা আমাকে ফেসবুকে নক করে বলে, ‘তুই এখন CNG হয়ে গেছিস!’ রাফসান শাবাব ২# সিডনি এয়ারপোর্টে ঢুকতে গেলে ইমিগ্রেশনে জিজ্ঞেস করে, ‘আপনার কি ক্রিমিনাল রেকর্ড আছে?’ আমি: এটা কি এখনও রিকুয়ারমেন্ট? নাভিদ মাহবুব ৩# আমার এক্সের ফ্রেন্ডের নাম ‘কথা।’ যে কারণে কেউ কথার মধ্যে হাত ঢুকাইলে, আমার মেজাজ খারাপ হয়ে যায়! আশির ইশমুম ৪# আমার নাম সামি দোহা। আমাকে ফেসবুকে সার্চ করলে আপনারা পাবেন, স্বামীর সাথে সহবাসের দোয়া। সামি দোহা ৫# আর্টসেলের লিংকনকে তার বাবা জিজ্ঞেস করেছিলেন, ‘তুমি বড় হয়ে কী হতে চাও?’ লিংকন বলেছিলেন, ‘আমি আর্ট সেল করতে চাই।’ সৈয়দ রেদোয়ান হোসাইন বিপ্র",0
8605,earki,https://www.earki.co/jokes/joke/8605/%E0%A6%8F%E0%A6%87-%E0%A6%9C%E0%A7%8B%E0%A6%95%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B-%E0%A6%A8%E0%A6%BE-%E0%A6%AC%E0%A7%81%E0%A6%9D%E0%A6%B2%E0%A7%87-%E0%A6%9D%E0%A7%9C%E0%A7%87-%E0%A6%95%E0%A6%96%E0%A6%A8%E0%A6%93-%E0%A6%86%E0%A6%AA%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%9B%E0%A6%BE%E0%A6%A4%E0%A6%BE-%E0%A6%89%E0%A7%9C%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A7%9F%E0%A6%A8%E0%A6%BF,jokes,2023-07-05T17:43:25+06:00,"এই জোকগুলো না বুঝলে, ঝড়ে কখনও আপনার ছাতা উড়ে যায়নি","১# বৃষ্টির দিনে মালিক তার কাজের লোককে বলছে… মালিক: রবিন, বাগানে পানি দিয়ে আয় যা। কাজের লোক: স্যার, আজকে তো বৃষ্টি হচ্ছে। মালিক: বৃষ্টি হলে ছাতা নিয়ে যা! ২# ১ম ব্যক্তি: আপনি পথ ছাড়ুন। নইলে ঐদিন যা করেছি আজও কিন্তু তেমন করবো! ২য় ব্যক্তি ভয়ে রাস্তা থেকে কাদায় নেমে পথ ছেড়ে দিলো। ১ম ব্যক্তি পার হয়ে চলে গেলে দূর থেকে ২য় ব্যক্তি জানতে চাইলো, ‘ভাই, ঐদিন কী করেছিলেন?’ ১ম ব্যক্তি: আজ আপনি যেটা করলেন। ৩# গ্রামের চৌচালা ঘর। বন্ধুরা মিলে তাস খেলছে। একজন উঠে বলল, এক মিনিট, ছোট কাজটি সেরে আসি। সে ফিরে এলে দেখা গেল, তার জামা প্যান্টে পানির ছাট লেগে আছে। সবাই কৌতূহলী হয়ে জানতে চাইল, ‘কীরে! বাইরে বৃষ্টি হয় নাকি?’ বন্ধু: না, তবে প্রচণ্ড বাতাস। ৪# খালা: কী রে টুনু, তুই দিনকে দিন শুকিয়ে যাচ্ছিস কেন? টুনু: চিন্তা করো না খালা, বৃষ্টি হলেই আবার ভিজে যাব। ৫# কর্মচারী: স্যার বাইরে বৃষ্টিতে শহর ডুবে গেছে। আজ অফিসে আসা সম্ভব না। বস: আপনিই তো জব অ্যাপ্লিকেশনে লিখেছিলেন সাঁতার কাটা আপনার শখ! ১০টার মধ্যেই চলে আসবেন।",0
8586,earki,https://www.earki.co/jokes/joke/8586/%E0%A6%87%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A6%B0%E0%A7%87%E0%A6%B0%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AF%E0%A7%87-%E0%A6%9C%E0%A7%8B%E0%A6%95%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B-%E0%A6%B6%E0%A7%81%E0%A6%A7%E0%A7%81-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A6%BF%E0%A6%95-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B0,jokes,2023-06-26T15:09:27+06:00,ইদের পরেরদিনের যে জোকগুলো শুধু প্রেমিক-প্রেমিকার জন্য,"১# আত্মীয়ের বাসায় ইদের দাওয়াত খেতে যাওয়ার সময় স্বামী স্ত্রীর কথোপকথন… স্ত্রী: জলদি বাড়ি ফিরে চলো। স্বামী: কেন? স্ত্রী: ভুলে চুলা জ্বালিয়ে এসেছি। আগুন ধরে সব ছারখার হয়ে যাবে। স্বামী: ছারখার হবে না। স্ত্রী: এতো নিশ্চিত হয়ে বলছো কীভাবে? স্বামী: কারণ আমিও ভুলে পানির কল ছেড়ে এসেছি। ২# প্রেমিক-প্রেমিকা হোটেলে বসে খাচ্ছে। প্রচুর খাবারের অর্ডার দেয়া হয়েছে। প্রেমিক: তাহলে তুমি আমাকে বিয়ে করবে না বলে ঠিক করেছ? প্রেমিকা: হ্যা, আমি তোমাকে বিয়ে করতে পারব না। প্রেমিক: এই বেয়ারা, আমাদের দুইজনের দুইটা আলাদা বিল নিয়ে আসো। ৩# প্রেমিক: তুমি যখন আমাকে বিয়েই করবে না তখন আমার চিঠিগুলো ফেরত দাও। প্রেমিকা: চিঠিগুলো আমি পুড়িয়ে ফেলব। প্রেমিক: না, না, ওগুলো  লিখতে আমার অনেক কষ্ট হয়েছে। দ্বিতীয়বার আর কষ্ট করতে পারব না। ৪# প্রেমিকা: আজকের এই ফেব্রুয়ারিতে যেমন ভালবাসছো, বছরের শেষেও এমনি ভালবাসবে তো? প্রেমিক: নিশ্চয়ই! ফেব্রুয়ারির চেয়ে ডিসেম্বরে বেশি ভালবাসব। বিশ্বাস না হয় ক্যালেন্ডার দেখো। ৫# প্রেমিক প্রেমিকা একটা হোটেলে বসে আছে। বেয়ারা এলো অর্ডার নিতে। প্রেমিক প্রেমিকাকে বললো, ‘কী অর্ডার দেবে দাও।’ : আমার এক কাপ কফি হলেই চলবে। তোমার জন্য একটা অ্যাম্বুল্যান্স অর্ডার দাও। : অ্যাম্বুল্যান্স কেন? : ওই দেখো আমার স্বামী এদিকেই আসছে।",0
8585,earki,https://www.earki.co/jokes/joke/8585/%E0%A6%9A%E0%A6%BE%E0%A6%81%E0%A6%A6%E0%A6%B0%E0%A6%BE%E0%A6%A4%E0%A7%87-%E0%A6%AF%E0%A7%87-%E0%A6%9C%E0%A7%8B%E0%A6%95%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B-%E0%A6%B6%E0%A7%81%E0%A6%A7%E0%A7%81-%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE%E0%A6%87%E0%A7%9F%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%87-%E0%A6%AC%E0%A7%81%E0%A6%9D%E0%A6%AC%E0%A7%87,jokes,2023-06-26T15:06:55+06:00,চাঁদরাতে যে জোকগুলো শুধু ঢাকাইয়ারাই বুঝবে,"১# এক মাতাল টলতে টলতে এক ভদ্রলোকের সামনে গিয়ে দাঁড়াল। : এই আমাকে একটা ট্যাক্সি ডেকে দাও তো। : আমি এ হোটেলের দারোয়ান নই, আমি একজন এয়ার মার্শাল। : বেশ তো, তা হলে একটা প্লেনই ডেকে দাও। ২# আমেরিকার কোনো এক রাস্তায় দুইজন বাঙালি মাতাল মদ খাচ্ছে আর আলাপ করছে। সাকিব: আমি এই দেশটা কিনে নেব। অনন্ত: কিনবি মানে! আমি বেচলে তো কিনবি! ৩# দুই মাতাল রাতে মদ খেয়ে আকাশের দিকে তাকিয়ে একজন আরেকজনকে বলছে, ‘দেখ তো আকাশে চাঁদ নাকি সূর্য?’ ১ম মাতাল: ওটা সূর্য। ২য় মাতাল: নারে ওটা চাঁদ। এটা নিয়ে ওরা যখন তর্ক করছিল তখন আরেকজন মানুষ ওদের পাশ দিয়ে যাচ্ছিল। ১ম মাতাল বলল, ‘ভাই বলেন তো আকাশে চাঁদ নাকি সূর্য?’ লোকটা বলল ‘ভাই আমি বলতে পারব না, আমি এই এলাকায় নতুন এসেছি।’ ৪# এক মাতাল দু’তলা থেকে জানালা দিয়ে হিসু করছে। তখন আরেক মাতাল বলছে, ‘আরে তোর হিসু বেয়ে তো চোর উঠে যাবে!’ এ কথা শুনে প্রথম মাতাল বলল, ‘আমি কি তোর মতো বলদ নাকি, আমি ছেড়ে ছেড়ে করছি, যাতে চোর উঠে আর পড়ে যায়!’ ৫# এক মাতাল মদ খেয়ে রাস্তার মাঝে বসে আছে… রাস্তার দুই পাশে অনেক মানুষ দেখে মাতাল সবাইকে ডেকে বলতে লাগল, ‘আমার ডান পাশে যারা আছে তারা সবাই দুর্নীতিবাজ, আর বাম পাশে যারা আছে তারা সবাই মাতাল।’ এই কথা শোনার পর, ডান পাশ থেকে একজন বলল, ‘এই যে শুনুন, আমি কিন্তু টাউট নই।’ মাতাল: ও আচ্ছা, তাহলে আপনি মাতাল! আপনি বাম পাশে এসে দাঁড়ান।",0
8584,earki,https://www.earki.co/jokes/joke/8584/%E0%A6%87%E0%A6%A6-%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A7%87%E0%A6%B6%E0%A6%BE%E0%A6%B2-%E0%A6%95%E0%A7%8C%E0%A6%A4%E0%A7%81%E0%A6%95,jokes,2023-06-26T15:04:37+06:00,ইদ স্পেশাল কৌতুক,"১# ক্রেতা: ইদে সবাই কিছু না কিছু ছাড় দিচ্ছে, আপনারা দিচ্ছেন না কেন? বিক্রেতা: আমরা এবার এই ছাড় শব্দটাকেই ছাড় দিয়েছি। ২# ইদের দিন ভোরবেলা শপিং মলের দারোয়ানের কাছে ফোন এলো, ‘শপিং মল কখন খুলবেন আজ?’ দারোয়ান: আজকে তো ইদের বন্ধ। তিনদিন পর খুলব আর। লোক: না, না, আজ খুলতেই হবে আপনাকে। দারোয়ান: কেন? এখন কী কিনবেন আপনি? লোক: কিছু কিনবো না, কাল বউ এর সাথে শপিং করতে এসেছিলাম, এখনও শপিং শেষ করে বের হতে পারিনি। ঘণ্টাখানেকের মধ্যে বের হবো আশা করছি। ৩# চাঁদ রাতে এক প্রবীণ দর্জির কাছে পাঞ্জাবি নিয়ে গেছে এক যুবক। যুবক: দাদু, আমার পাঞ্জাবিটা কি একটু সাইজ করে দেয়া যাবে? দর্জি: এখন তো আর চোখে দেখি না বাপু, শেষবার পাঞ্জাবি সাইজ করেছি ১৯৭১ সালে। ৪# ইদের শপিং করতে এসে নিউমার্কেটে দুই লোক বউ হারিয়ে ফেলেছে… : আপনার বউ হারিয়ে গেছে? : জ্বী, আপনার? : আমার বউকেও পাচ্ছি না। : আপনার বউ দেখতে কেমন বলুন তো? : লম্বা, বব কাট চুল, চিকন কোমর : চলুন, আপনার বউকেই আগে খুঁজি। ৫# এক কিপটে লোকের কাছ থেকে ইদের দাওয়াত আদায় করে নেয়ায় ব্যস্ত তার কলিগরা… কলিগ: অবসর সময়ে সবাইকে নিমন্ত্রণ করে সামাজিকতা বজায় রাখা উচিৎ। কিপটে: ঠিক বলেছেন। কলিগ: তাহলে এই ইদের ছুটিতে আমরা আপনার বাসায় আসি কী বলেন? কিপটে: কিন্তু আমি তো ৬০ বছরে অবসর নেব। এরপর ইচ্ছে হলেই চলে আসবেন।",0
8581,earki,https://www.earki.co/jokes/joke/8581/%E0%A6%AC%E0%A6%BF%E0%A7%9F%E0%A7%87%E0%A6%B0-%E0%A6%86%E0%A6%97%E0%A7%87-%E0%A6%AF%E0%A7%87-%E0%A6%9C%E0%A7%8B%E0%A6%95%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B-%E0%A6%AA%E0%A7%9C%E0%A6%AC%E0%A7%87%E0%A6%A8-%E0%A6%A8%E0%A6%BE,jokes,2023-06-25T17:33:51+06:00,বিয়ের আগে যে জোকগুলো পড়বেন না,"১# একটা বড় টানেলের ভেতর দিয়ে ট্রেনটা বেরিয়ে আসার পর প্রেমিক প্রেমিকাকে বললো, ‘ইস, আগে যদি জানতাম টানেলটা এত বড় তাহলে জমাট একটা চুমু খেতাম।’ প্রেমিকা অবাক হয়ে বললো, ‘সে কী তুমি নও? তাহলে কে দিলো!’ ২# প্রেমিকের বাহুবন্ধন থেকে নিজেকে ছাড়িয়ে নিয়ে প্রেমিকা বললো, ‘তুমি কখনও রুমাল বিক্রি করেছো?’ প্রেমিক: না, তো। প্রেমিকা: করলে ভালো হতো। ঠিক আছে, এই রুমালগুলো রাখো আর আমার কাছে রুমাল বিক্রির অভিনয় করো। প্রেমিক: ওমা! কেন? প্রেমিকা: ঐ যে আমার স্বামী আসছে। ৩# স্বামী: প্রতিবার শেভ করার পর মনে হয় বয়স দশ বছর কমে গেছে। স্ত্রী: তাহলে রাতে শোবার আগে তিনবার শেভ করে এসো। ৪# বেশ যাচ্ছিল ট্যাক্সিটা, হঠাৎ দাঁড়িয়ে পড়লো। ছেলে: কী ব্যাপার? থামলে কেন? ড্রাইভার: আপা যে বললেন, আস্তে আস্তে। ছেলে: না, না, চালাও। ও তোমাকে বলেনি। ৫# চিত্রশিল্পী আঁকা শেষ করে মডেলকে চুমু খেল। মডেলটি বলে উঠলো, ‘আপনি বোধহয় সব মডেলকেই এভাবে চুমু খান?’ চিত্রশিল্পী: মোটেই না। তুমিই প্রথম। মডেল: আপনি এ পর্যন্ত কতজন মডেল নিয়ে কাজ করেছেন? চিত্রশিল্পী: চারজন। একটা গোলাপ ফুল, একটা পেঁয়াজ, একটা কলা আর তুমি।",0
8573,earki,https://www.earki.co/jokes/joke/8573/%E0%A6%AF%E0%A7%87-%E0%A6%9C%E0%A7%8B%E0%A6%95%E0%A6%97%E0%A7%81%E0%A6%B2%E0%A7%8B-%E0%A6%B0%E0%A6%BE%E0%A6%A4-%E0%A7%A7%E0%A7%A8%E0%A6%9F%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A6%B0%E0%A7%87%E0%A6%87-%E0%A6%AA%E0%A7%9C%E0%A6%A4%E0%A7%87-%E0%A6%B9%E0%A6%AC%E0%A7%87,jokes,2023-06-24T17:34:53+06:00,যে জোকগুলো রাত ১২টার পরেই পড়তে হবে,"১# দুই বান্ধবীর আলাপ চলছে… আনিকা: ছেলেটার কত বড় সাহস আমাকে চুমু খায়! সুমাইয়া: তাকে বকে দিলেই তো পারিস। আনিকা: প্রতিবারই তো দেই। ২# বিবাহবিচ্ছেদের মামলায় স্বামী-স্ত্রী দু’জনেই আদালতে হাজির। হাকিম একটা মিটমাটের প্রাথমিক চেষ্টা করলেন। হাকিম: আপনি কী জন্যে বিচ্ছেদ চাচ্ছেন? স্বামী: আমি চেয়েছিলাম ছেলের বাপ হতে, অথচ ও দু’বারই মেয়ে প্রসব করলো। সাথে সাথে স্ত্রী চিৎকার করে উঠলো, ‘মরদের মুরদ তো ঢের দেখছি। তোমার ভরসায় থাকলে মেয়ে দু’টিও দুনিয়ার মুখ দেখতো না।‘ ৩# স্ত্রী: প্রত্যেক দিন পাশের বাসার ছেলে-মেয়ে দু’টিকে দেখি বিদায় নেবার সময় পরস্পরকে চুমু খায়, তুমি ওরকম করো না কেন? স্বামী: তুমি তো মেয়েটিকে আমার সঙে পরিচয় করিয়ে দাওনি। ৪# স্ত্রী: চুলের গোড়া শক্ত হওয়ার তেলটা এনেছো? স্বামী: হ্যাঁ, তুমি বলেছো আর আমি না এনে পারি? এই নাও। স্ত্রী: না, তোমার কাছেই রাখো। তোমার অফিসের রিসেপশনিস্ট মেয়েটাকে দিয়ো। ওর মাথার চুল আজকাল প্রায়ই তোমার জামায় আটকে থাকে। ৫# আরিফ: আমি আমার স্ত্রীর সাথে বিয়ের আগে শারীরিক সম্পর্ক স্থাপন করিনি। তুমি করেছিলে? আজাদ: ঠিক মনে করতে পারছি না। তোমার স্ত্রীর নামটা যেন কী?",0
